GENESIS-Tabelle: 31211-09-01-5-B
Wohnungen in Gebäuden mit Wohnraum nach Anzahl der;;;;;;;;;
Räume - Stichtag 09.05.2011;;;;;;;;;
regionale Ebenen;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;
;;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum
;;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume
;;Insgesamt;1 Raum;2 Räume;3 Räume;4 Räume;5 Räume;6 Räume;7 und mehr Räume
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
0733806012;Heßheim;-;-;-;-;-;-;-;-
0733806013;Heuchelheim bei Frankenthal;-;-;-;-;-;-;-;-
0733806015;Kleinniedesheim;-;-;-;-;-;-;-;-
0733806016;Lambsheim;-;-;-;-;-;-;-;-
0733807;Römerberg-Dudenhofen;-;-;-;-;-;-;-;-
0733807007;Dudenhofen;-;-;-;-;-;-;-;-
0733807010;Hanhofen;-;-;-;-;-;-;-;-
0733807011;Harthausen;-;-;-;-;-;-;-;-
0733807023;Römerberg;-;-;-;-;-;-;-;-
0733808;Rheinauen;-;-;-;-;-;-;-;-
0733808001;Altrip;-;-;-;-;-;-;-;-
0733808020;Neuhofen;-;-;-;-;-;-;-;-
0733808021;Otterstadt;-;-;-;-;-;-;-;-
0733808026;Waldsee;-;-;-;-;-;-;-;-
0733900005;Bingen am Rhein, verbandsfr. Gemeinde;13430;773;1341;2936;2866;2065;1533;1916
0733900009;Budenheim, verbandsfr. Gemeinde;4205;134;289;1009;1174;752;398;445
0733900030;Ingelheim am Rhein, verbandsfr. Gemeinde;12432;381;1002;2172;2851;2363;1708;1952
0733901;Rhein-Nahe, Verbandsgem.;7742;85;393;1078;1408;1571;1391;1813
0733901003;Bacharach;1166;6;49;190;254;221;176;270
0733901007;Breitscheid, Hunsrück;69;-;3;-;3;26;10;27
0733901036;Manubach;173;4;-;6;21;38;41;63
0733901038;Münster-Sarmsheim;1472;35;126;224;269;273;252;293
0733901040;Niederheimbach;429;3;19;38;76;100;93;100
0733901044;Oberdiebach;425;3;19;40;75;98;90;100
0733901045;Oberheimbach;295;3;9;28;54;65;56;80
0733901058;Trechtingshausen;523;3;21;96;92;108;89;114
0733901062;Waldalgesheim;1949;18;102;309;366;403;349;402
0733901063;Weiler bei Bingen;1241;10;45;147;198;239;235;364
0733902;Bodenheim, Verbandsgem.;8930;231;583;1258;1891;1744;1495;1728
0733902006;Bodenheim;3499;113;273;539;774;644;564;592
0733902020;Gau-Bischofsheim;877;30;42;117;150;195;149;194
0733902026;Harxheim;983;26;54;90;172;204;207;230
0733902034;Lörzweiler;931;13;18;91;180;188;191;250
0733902039;Nackenheim;2640;49;196;421;615;513;384;462
0733903;Gau-Algesheim, Verbandsgem.;7611;74;488;956;1375;1513;1375;1824
0733903001;Appenheim;683;12;42;78;116;122;126;187
0733903008;Bubenheim, Rheinhessen;402;4;10;58;53;86;76;115
0733903016;Engelstadt;366;6;9;49;77;90;53;82
0733903019;Gau-Algesheim;3097;34;255;413;622;589;543;638
0733903041;Nieder-Hilbersheim;277;-;16;17;57;57;58;72
0733903046;Ober-Hilbersheim;463;-;18;44;46;107;94;154
0733903048;Ockenheim;1154;9;48;147;218;222;216;291
0733903051;Schwabenheim an der Selz;1169;9;90;150;186;240;209;285
0733904;Guntersblum, Verbandsgem.;4244;34;188;485;708;883;744;1202
0733904013;Dolgesheim;398;-;3;35;57;94;85;124
0733904015;Eimsheim;250;3;-;22;49;31;54;91
0733904024;Guntersblum;1760;16;104;239;333;341;283;444
0733904028;Hillesheim;275;3;9;27;39;72;53;72
0733904035;Ludwigshöhe;263;6;29;30;52;53;41;52
0733904059;Uelversheim;469;3;19;47;52;93;103;152
0733904064;Weinolsheim;292;-;9;27;56;64;45;91
0733904066;Wintersheim;120;-;6;9;9;31;15;50
0733904201;Dorn-Dürkheim;417;3;9;49;61;104;65;126
0733905;Heidesheim am Rhein, Verbandsgem.;4577;95;236;740;1005;898;738;865
0733905027;Heidesheim am Rhein;3296;58;161;532;726;644;553;622
0733905061;Wackernheim;1281;37;75;208;279;254;185;243
0733906;Nieder-Olm, Verbandsgem.;14496;382;962;2114;2761;2820;2393;3061
0733906017;Essenheim;1525;38;85;207;289;296;287;323
0733906031;Jugenheim in Rheinhessen;696;6;38;96;113;134;132;177
0733906032;Klein-Winternheim;1628;33;108;193;298;331;308;354
0733906042;Nieder-Olm;4243;74;313;688;952;760;596;860
0733906047;Ober-Olm;2082;176;149;346;359;357;326;369
0733906054;Sörgenloch;509;3;23;61;68;135;89;130
0733906057;Stadecken-Elsheim;2065;21;110;249;362;461;362;500
0733906067;Zornheim;1748;31;136;274;320;346;293;348
0733907;Rhein-Selz;13954;156;829;1914;2985;2791;2391;2885
0733907010;Dalheim;455;-;16;42;89;108;77;123
0733907011;Dexheim;662;10;35;48;167;154;86;162
0733907012;Dienheim;949;31;32;113;198;211;171;193
0733907013;Dolgesheim;-;-;-;-;-;-;-;-
0733907015;Eimsheim;-;-;-;-;-;-;-;-
0733907018;Friesenheim, Rheinhessen;297;-;21;36;69;70;48;53
0733907024;Guntersblum;-;-;-;-;-;-;-;-
0733907025;Hahnheim;737;3;28;67;142;133;135;226
0733907028;Hillesheim;-;-;-;-;-;-;-;-
0733907033;Köngernheim;569;-;9;56;104;143;139;118
0733907035;Ludwigshöhe;-;-;-;-;-;-;-;-
0733907037;Mommenheim;1401;18;105;163;262;289;285;279
0733907043;Nierstein;3565;49;255;534;726;687;579;735
0733907049;Oppenheim;3407;36;249;634;887;583;524;494
0733907053;Selzen;709;3;29;63;96;143;151;224
0733907059;Uelversheim;-;-;-;-;-;-;-;-
0733907060;Undenheim;1203;6;50;158;245;270;196;278
0733907064;Weinolsheim;-;-;-;-;-;-;-;-
0733907066;Wintersheim;-;-;-;-;-;-;-;-
0733907201;Dorn-Dürkheim;-;-;-;-;-;-;-;-
0733908;Sprendlingen-Gensingen, Verbandsgem.;6380;99;385;785;1182;1280;1113;1536
0733908002;Aspisheim;476;10;10;55;99;113;82;107
0733908004;Badenheim;264;-;19;35;39;25;45;101
0733908021;Gensingen;1625;28;135;220;308;323;286;325
0733908022;Grolsheim;526;12;27;70;109;109;77;122
0733908029;Horrweiler;361;6;22;30;48;63;73;119
0733908050;Sankt Johann, Rheinhessen;357;3;13;37;73;91;67;73
0733908056;Sprendlingen;1889;37;118;239;390;387;309;409
0733908065;Welgesheim;238;-;9;35;13;44;46;91
0733908068;Zotzenheim;294;-;22;24;44;58;60;86
0733908202;Wolfsheim;350;3;10;40;59;67;68;103
0734001;Dahner Felsenland, Verbandsgem.;7613;62;371;895;1446;1538;1394;1907
0734001001;Bobenthal;184;-;-;17;41;30;34;62
0734001002;Busenberg;635;3;27;63;109;134;138;161
0734001004;Dahn;2297;19;147;350;499;458;360;464
0734001009;Erfweiler;557;-;15;55;84;114;114;175
0734001010;Erlenbach bei Dahn;187;-;3;18;44;39;34;49
0734001011;Fischbach bei Dahn;828;3;54;101;143;170;151;206
0734001021;Hirschthal;80;-;3;9;16;21;13;18
0734001029;Ludwigswinkel;565;34;52;62;102;125;97;93
0734001033;Niederschlettenbach;145;-;6;30;17;15;26;51
0734001034;Nothweiler;92;-;3;12;12;20;19;26
0734001039;Rumbach;244;-;16;26;47;66;39;50
0734001043;Schindhard;262;3;-;10;47;56;41;105
0734001045;Schönau (Pfalz);276;-;8;48;79;52;34;55
0734001501;Bruchweiler-Bärenbach;764;-;22;56;138;139;168;241
0734001502;Bundenthal;497;-;15;38;68;99;126;151
0734002;Hauenstein, Verbandsgem.;4359;31;119;516;736;830;964;1163
0734002005;Darstein;89;6;3;-;6;15;33;26
0734002006;Dimbach;81;-;-;13;0;20;31;17
0734002014;Hauenstein;1970;3;82;241;355;298;451;540
0734002020;Hinterweidenthal;773;-;9;72;186;166;144;196
0734002030;Lug, Pfalz;303;9;-;23;45;51;76;99
0734002047;Schwanheim;305;3;16;38;27;69;81;71
0734002049;Spirkelbach;317;-;3;31;35;87;72;89
0734002057;Wilgartswiesen;521;10;6;98;82;124;76;125
0734003;Pirmasens-Land, Verbandsgem.;6317;38;125;763;1433;1481;1185;1292
0734003008;Eppenbrunn;745;3;21;94;203;172;139;113
0734003019;Hilst;197;12;9;12;42;57;31;34
0734003026;Kröppen;359;-;-;41;71;89;68;90
0734003028;Lemberg;2063;13;55;345;491;478;349;332
0734003036;Obersimten;311;-;6;28;44;68;64;101
0734003040;Ruppertsweiler;693;-;12;77;126;196;146;136
0734003048;Schweix;168;-;-;9;53;29;34;43
0734003052;Trulben;624;7;9;47;141;156;139;125
0734003053;Vinningen;817;3;3;87;203;166;146;209
0734003205;Bottenbach;340;-;10;23;59;70;69;109
0734004;Rodalben, Verbandsgem.;7340;21;189;884;1649;1528;1399;1646
0734004003;Clausen;726;-;14;56;91;178;166;217
0734004007;Donsieders;481;3;6;41;111;80;128;112
0734004027;Leimen, Pfalz;467;-;9;25;86;106;95;143
0734004031;Merzalben;618;3;3;62;93;144;153;150
0734004032;Münchweiler an der Rodalb;1423;3;14;118;337;309;292;350
0734004038;Rodalben;3625;12;143;582;931;711;565;674
0734005;Thaleischweiler-Fröschen, Verbandsgem.;5269;18;133;581;1071;1061;1015;1367
0734005023;Höheischweiler;444;-;9;48;119;91;79;98
0734005024;Höhfröschen;435;-;6;34;102;89;100;101
0734005035;Nünschweiler;386;-;12;42;54;91;62;125
0734005037;Petersberg, Pfalz;425;-;18;59;83;93;76;96
0734005051;Thaleischweiler-Fröschen;1723;9;57;245;422;309;305;373
0734005217;Maßweiler;463;-;3;31;79;94;107;143
0734005220;Reifenberg;369;-;4;27;39;80;79;137
0734005222;Rieschweiler-Mühlbach;1024;9;24;95;173;214;207;294
0734006;Waldfischbach-Burgalben, Verbandsgem.;6378;54;164;731;1177;1270;1160;1696
0734006012;Geiselberg;405;3;21;34;55;95;76;105
0734006015;Heltersberg;1045;-;12;108;180;233;173;312
0734006016;Hermersberg;838;-;16;67;101;160;209;260
0734006022;Höheinöd;627;-;13;51;111;119;127;193
0734006025;Horbach, Pfalz;284;-;12;24;43;36;53;107
0734006044;Schmalenberg;398;9;16;25;74;72;77;113
0734006050;Steinalben;200;-;-;25;29;35;38;69
0734006054;Waldfischbach-Burgalben;2581;42;74;397;584;520;407;537
0734007;Wallhalben, Verbandsgem.;3531;16;64;276;532;653;657;1211
0734007017;Herschberg;429;-;7;41;84;69;65;148
0734007018;Hettenhausen;118;-;-;14;16;17;15;47
0734007041;Saalstadt;177;-;3;11;29;55;15;60
0734007042;Schauerberg;93;-;-;6;16;10;15;43
0734007055;Weselberg;665;13;18;40;74;107;125;250
0734007204;Biedershausen;87;-;3;-;9;20;24;31
0734007215;Knopp-Labach;225;-;3;16;25;57;43;67
0734007216;Krähenberg;85;-;-;3;10;10;18;44
0734007219;Obernheim-Kirchenarnbach;776;-;11;78;133;132;153;243
0734007224;Schmitshausen;195;-;-;13;41;35;54;52
0734007225;Wallhalben;436;3;16;38;57;86;77;146
0734007228;Winterbach (Pfalz);245;-;3;16;38;55;53;80
0734008;Zweibrücken-Land, Verbandsgem.;7934;28;193;872;1549;1748;1523;1983
0734008201;Althornbach;330;3;3;48;70;64;74;68
0734008202;Battweiler;324;3;4;19;65;50;70;113
0734008203;Bechhofen, Pfalz;1114;3;37;142;227;217;210;256
0734008206;Contwig;2340;7;61;271;499;523;445;531
0734008207;Dellfeld;655;3;10;49;141;138;166;145
0734008208;Dietrichingen;175;-;3;21;26;50;29;46
0734008209;Großbundenbach;159;-;3;13;16;49;22;56
0734008210;Großsteinhausen;285;-;7;16;45;89;57;71
0734008211;Hornbach;760;-;16;116;170;153;113;189
0734008212;Käshofen;306;-;9;24;71;72;52;71
0734008213;Kleinbundenbach;195;6;6;31;31;34;38;49
0734008214;Kleinsteinhausen;369;-;15;44;48;71;81;110
0734008218;Mauschbach;121;-;-;9;24;24;27;37
0734008221;Riedelberg;215;-;-;19;44;44;46;62
0734008223;Rosenkopf;173;-;3;9;13;56;19;73
0734008226;Walshausen;157;-;-;19;21;34;38;45
0734008227;Wiesbach;256;3;16;22;38;80;36;61
0734009;Thaleischweiler-Wallhalben;-;-;-;-;-;-;-;-
0734009017;Herschberg;-;-;-;-;-;-;-;-
0734009018;Hettenhausen;-;-;-;-;-;-;-;-
0734009023;Höheischweiler;-;-;-;-;-;-;-;-
0734009024;Höhfröschen;-;-;-;-;-;-;-;-
0734009035;Nünschweiler;-;-;-;-;-;-;-;-
0734009037;Petersberg;-;-;-;-;-;-;-;-
0734009041;Saalstadt;-;-;-;-;-;-;-;-
0734009042;Schauerberg;-;-;-;-;-;-;-;-
0734009051;Thaleischweiler-Fröschen;-;-;-;-;-;-;-;-
0734009055;Weselberg;-;-;-;-;-;-;-;-
0734009204;Biedershausen;-;-;-;-;-;-;-;-
0734009215;Knopp-Labach;-;-;-;-;-;-;-;-
0734009216;Krähenberg;-;-;-;-;-;-;-;-
0734009217;Maßweiler;-;-;-;-;-;-;-;-
0734009219;Obernheim-Kirchen.;-;-;-;-;-;-;-;-
0734009220;Reifenberg;-;-;-;-;-;-;-;-
0734009222;Rieschweiler-Mühlbach;-;-;-;-;-;-;-;-
0734009224;Schmitshausen;-;-;-;-;-;-;-;-
0734009225;Wallhalben;-;-;-;-;-;-;-;-
0734009228;Winterbach (Pfalz);-;-;-;-;-;-;-;-
08111000;Stuttgart, Landeshauptstadt, Stadtkreis;302272;20062;37866;85786;90318;36694;15688;15626
08115001;Aidlingen;4120;135;327;677;804;779;626;763
08115002;Altdorf;1919;67;132;255;387;345;368;359
08115003;Böblingen, Stadt;22916;856;2236;5063;6996;3826;1957;1874
08115004;Bondorf;2352;28;158;292;502;506;380;479
08115010;Deckenpfronn;1271;13;78;152;272;285;236;235
08115013;Ehningen;3650;103;261;578;939;716;533;511
08115015;Gärtringen;5224;123;361;887;1317;997;814;713
08115016;Gäufelden;3966;61;291;595;836;910;657;613
08115021;Herrenberg, Stadt;14354;398;1300;2405;3164;2787;2076;2179
08115022;Hildrizhausen;1627;35;112;236;393;333;251;260
08115024;Holzgerlingen, Stadt;5497;126;397;856;1300;1206;777;807
08115028;Leonberg, Stadt;22368;746;2443;4883;5805;3865;2285;2300
08115029;Magstadt;4197;83;375;831;1152;778;509;460
08115034;Mötzingen;1458;26;61;161;318;318;241;333
08115037;Nufringen;2463;39;139;360;604;529;387;394
08115041;Renningen, Stadt;7576;106;532;1501;1878;1478;1105;963
08115042;Rutesheim, Stadt;4526;71;347;745;1218;911;630;604
08115044;Schönaich;4686;145;408;867;1134;871;595;634
08115045;Sindelfingen, Stadt;28414;1164;2623;5941;8886;4984;2540;2208
08115046;Steinenbronn;2840;93;241;542;679;542;397;325
08115048;Waldenbuch, Stadt;4024;102;367;698;912;725;566;611
08115050;Weil der Stadt, Stadt;8571;136;653;1720;1830;1632;1217;1368
08115051;Weil im Schönbuch;4346;69;271;586;1046;902;696;747
08115052;Weissach;3384;92;251;507;682;697;540;612
08115053;Jettingen;3055;49;253;379;558;682;556;578
08115054;Grafenau;3104;54;246;525;649;611;413;592
08116004;Altbach;2907;77;263;628;859;503;310;267
08116005;Altdorf;624;10;51;85;140;122;119;97
08116006;Altenriet;841;17;48;125;143;198;141;169
08116007;Baltmannsweiler;2550;21;164;422;569;551;416;407
08116008;Bempflingen;1549;27;47;256;393;305;278;243
08116011;Beuren;1687;60;140;284;341;314;250;295
08116012;Bissingen an der Teck;1631;25;76;223;362;364;254;327
08116014;Deizisau;3042;42;236;535;897;614;342;372
08116015;Denkendorf;4778;114;378;978;1391;797;543;568
08116016;Dettingen unter Teck;2645;69;146;427;728;519;355;401
08116018;Erkenbrechtsweiler;963;-;31;132;193;222;167;218
08116019;Esslingen am Neckar, Stadt;45157;2286;4131;10226;13831;7467;3794;3418
08116020;Frickenhausen;3955;66;216;588;861;802;738;681
08116022;Großbettlingen;1870;24;114;327;387;362;346;310
08116027;Hochdorf;2240;39;157;347;533;455;346;363
08116029;Holzmaden;950;13;64;109;241;154;200;169
08116033;Kirchheim unter Teck, Stadt;18653;428;1588;3717;4946;3506;2308;2160
08116035;Köngen;4414;80;342;820;1106;893;603;563
08116036;Kohlberg;1022;7;30;113;225;215;193;239
08116037;Lichtenwald;1136;13;50;162;196;230;250;235
08116041;Neckartailfingen;1743;26;127;281;344;343;282;340
08116042;Neckartenzlingen;2874;92;246;491;710;595;360;377
08116043;Neidlingen;859;10;70;142;174;190;131;142
08116046;Neuffen, Stadt;2784;75;142;382;598;552;454;581
08116047;Neuhausen auf den Fildern;5548;103;385;1029;1551;1033;766;667
08116048;Notzingen;1641;21;91;177;349;418;314;271
08116049;Nürtingen, Stadt;18461;797;1523;3492;4432;3318;2377;2522
08116050;Oberboihingen;2497;50;196;390;545;468;434;414
08116053;Ohmden;771;10;19;85;164;184;161;148
08116054;Owen, Stadt;1531;19;60;222;317;343;252;318
08116056;Plochingen, Stadt;6660;200;629;1538;1922;1171;578;622
08116058;Reichenbach an der Fils;3962;93;316;827;1215;722;404;385
08116063;Schlaitdorf;840;9;38;116;190;172;159;153
08116068;Unterensingen;2098;31;186;326;511;432;321;291
08116070;Weilheim an der Teck, Stadt;4307;71;282;623;1014;936;635;746
08116071;Wendlingen am Neckar, Stadt;7352;206;546;1448;2063;1480;896;713
08116072;Wernau (Neckar), Stadt;5793;144;446;1117;1801;1101;701;483
08116073;Wolfschlugen;2975;103;226;480;774;630;434;328
08116076;Aichwald;3643;68;205;568;871;746;551;634
08116077;Filderstadt, Stadt;21527;908;2291;4652;5913;3810;2057;1860
08116078;Leinfelden-Echterdingen, Stadt;18354;654;1872;4157;5116;3181;1718;1606
08116079;Lenningen;3774;27;228;536;887;755;611;730
08116080;Ostfildern, Stadt;17318;671;1550;3533;4993;3174;1868;1516
08116081;Aichtal, Stadt;4475;122;273;708;963;852;764;760
08117001;Adelberg;931;31;50;122;181;212;180;155
08117002;Aichelberg;577;28;39;71;103;128;110;98
08117003;Albershausen;1952;12;86;288;470;416;331;349
08117006;Bad Ditzenbach;1735;50;102;257;481;338;230;277
08117007;Bad Überkingen;1853;16;120;263;404;449;279;322
08117009;Birenbach;923;9;54;176;207;193;128;156
08117010;Böhmenkirch;2403;12;64;245;558;639;427;458
08117011;Börtlingen;805;6;28;117;155;195;143;161
08117012;Bad Boll;2394;52;131;414;647;458;391;301
08117014;Deggingen;2520;40;109;357;614;548;362;490
08117015;Donzdorf, Stadt;4906;25;250;658;1267;1080;779;847
08117016;Drackenstein;190;-;13;18;36;37;45;41
08117017;Dürnau;907;9;52;117;215;207;173;134
08117018;Ebersbach an der Fils, Stadt;6960;113;390;1219;1978;1352;905;1000
08117019;Eislingen/Fils, Stadt;9370;211;621;1761;2864;1954;994;965
08117020;Eschenbach;1061;13;50;240;338;175;119;126
08117023;Gammelshausen;695;4;22;103;171;158;126;111
08117024;Geislingen an der Steige, Stadt;12920;381;838;2754;4006;2375;1185;1381
08117025;Gingen an der Fils;2066;52;85;287;529;483;308;322
08117026;Göppingen, Stadt;26927;485;1964;5891;8507;4912;2664;2500
08117028;Gruibingen;985;15;52;148;237;212;145;176
08117029;Hattenhofen;1293;6;44;151;320;320;221;231
08117030;Heiningen;2339;50;99;358;603;523;384;322
08117031;Hohenstadt;346;6;22;50;96;76;41;55
08117033;Kuchen;2683;79;121;401;786;585;356;355
08117035;Mühlhausen im Täle;439;3;9;58;124;112;48;85
08117037;Ottenbach;1090;9;55;120;284;234;168;220
08117038;Rechberghausen;2549;21;135;397;741;536;363;356
08117042;Salach;3613;46;192;698;1076;749;453;399
08117043;Schlat;776;3;20;78;187;211;129;148
08117044;Schlierbach;1657;3;74;200;400;390;321;269
08117049;Süßen, Stadt;4377;48;265;813;1198;931;571;551
08117051;Uhingen, Stadt;6114;51;348;990;1647;1323;868;887
08117053;Wäschenbeuren;1728;7;47;192;457;422;270;333
08117055;Wangen;1493;21;72;200;370;340;229;261
08117058;Wiesensteig, Stadt;985;10;50;137;266;214;151;157
08117060;Zell unter Aichelberg;1405;19;57;289;356;317;181;186
08117061;Lauterstein, Stadt;1242;7;39;191;327;294;175;209
08118001;Affalterbach;2007;24;102;215;432;473;413;348
08118003;Asperg, Stadt;6163;89;495;1272;1792;1159;694;659
08118006;Benningen am Neckar;2720;37;173;482;694;625;331;378
08118007;Besigheim, Stadt;5488;68;405;968;1365;1087;735;860
08118010;Bönnigheim, Stadt;3317;62;229;446;857;674;498;551
08118011;Ditzingen, Stadt;11489;225;1027;2288;3223;2093;1359;1264
08118012;Eberdingen;2999;40;197;454;648;662;488;510
08118014;Erdmannhausen;2259;21;95;372;512;468;332;459
08118015;Erligheim;1183;19;76;160;303;255;190;180
08118016;Freudental;1066;6;65;186;249;210;160;190
08118018;Gemmrigheim;1797;12;78;289;453;410;274;281
08118019;Gerlingen, Stadt;9563;265;918;1973;2814;1667;900;1019
08118021;Großbottwar, Stadt;3635;45;218;493;884;845;511;639
08118027;Hemmingen;3481;67;212;741;1051;647;394;369
08118028;Hessigheim;1070;12;45;121;288;238;160;206
08118040;Kirchheim am Neckar;2356;35;136;378;660;477;283;387
08118046;Kornwestheim, Stadt;15344;556;1604;4247;4784;2325;944;884
08118047;Löchgau;2419;12;115;370;527;569;396;430
08118048;Ludwigsburg, Stadt;43441;2246;4194;9983;13402;7258;3107;3248
08118049;Marbach am Neckar, Stadt;7311;128;660;1385;1913;1498;832;895
08118050;Markgröningen, Stadt;6723;215;585;1302;1838;1253;760;764
08118051;Möglingen;5095;167;409;1315;1519;917;428;340
08118053;Mundelsheim;1486;9;59;194;317;305;257;345
08118054;Murr;2881;80;191;497;806;560;393;354
08118059;Oberriexingen, Stadt;1460;12;83;221;267;363;257;257
08118060;Oberstenfeld;3566;49;226;487;722;742;604;736
08118063;Pleidelsheim;2814;31;235;565;722;550;376;335
08118067;Schwieberdingen;5332;132;477;1031;1522;958;687;525
08118068;Sersheim;2381;50;140;384;592;506;364;345
08118070;Steinheim an der Murr, Stadt;5273;45;277;727;1272;1107;909;936
08118071;Tamm;5746;128;523;1008;1500;1236;730;621
08118073;Vaihingen an der Enz, Stadt;12697;481;856;1932;2660;2586;1921;2261
08118074;Walheim;1427;35;83;207;361;293;223;225
08118076;Sachsenheim, Stadt;7911;113;546;1335;2043;1473;1237;1164
08118077;Ingersheim;2828;27;165;467;758;658;385;368
08118078;Freiberg am Neckar, Stadt;7578;149;595;1376;2061;1637;960;800
08118079;Bietigheim-Bissingen, Stadt;19731;695;1567;4170;5438;3654;2194;2013
08118080;Korntal-Münchingen, Stadt;8951;366;831;2002;2491;1567;791;899
08118081;Remseck am Neckar, Stadt;10489;147;718;1931;2897;2148;1473;1172
08119001;Alfdorf;3141;41;128;335;728;740;593;576
08119003;Allmersbach im Tal;2134;23;150;312;461;480;311;397
08119004;Althütte;1849;25;105;250;327;341;340;461
08119006;Auenwald;3158;33;127;484;728;758;496;532
08119008;Backnang, Stadt;16260;385;1345;3366;4556;2917;1840;1851
08119018;Burgstetten;1558;17;76;227;357;361;232;288
08119020;Fellbach, Stadt;21384;606;1834;4796;7784;3717;1430;1210
08119024;Großerlach;1055;15;77;125;215;234;161;228
08119037;Kaisersbach;1103;21;42;156;234;285;171;194
08119038;Kirchberg an der Murr;1673;12;108;264;414;359;230;286
08119041;Korb;4960;83;349;951;1506;988;526;557
08119042;Leutenbach;5102;89;326;890;1522;1120;570;585
08119044;Murrhardt, Stadt;6473;162;468;1271;1690;1127;758;997
08119053;Oppenweiler;1923;22;107;293;456;400;305;340
08119055;Plüderhausen;4379;52;317;762;1154;1006;572;516
08119061;Rudersberg;5074;54;248;766;1202;1077;807;920
08119067;Schorndorf, Stadt;18468;380;1150;3539;5692;3437;2145;2121
08119068;Schwaikheim;4409;60;383;860;1396;844;436;430
08119069;Spiegelberg;1042;12;71;130;247;211;162;209
08119075;Sulzbach an der Murr;2378;28;134;341;633;547;328;367
08119076;Urbach;3842;45;210;580;947;791;622;647
08119079;Waiblingen, Stadt;24894;569;2151;5464;7788;4571;2262;2089
08119083;Weissach im Tal;3268;43;250;514;754;619;471;617
08119084;Welzheim, Stadt;5068;85;359;849;1424;1063;560;728
08119085;Winnenden, Stadt;12817;334;1091;2428;3712;2505;1428;1319
08119086;Winterbach;3631;69;242;594;924;718;562;522
08119087;Aspach;3694;44;243;522;924;817;516;628
08119089;Berglen;2784;37;148;346;583;655;502;513
08119090;Remshalden;6407;126;382;983;1603;1404;866;1043
08119091;Weinstadt, Stadt;12443;278;965;2296;3272;2600;1566;1466
08119093;Kernen im Remstal;6958;272;572;1290;1939;1375;761;749
08121000;Heilbronn, Stadtkreis;57252;1401;4811;12977;18101;9485;5131;5346
08125001;Abstatt;2039;43;146;310;418;365;374;383
08125005;Bad Friedrichshall, Stadt;8313;408;723;1496;2013;1499;1092;1082
08125006;Bad Rappenau, Stadt;9589;169;710;1699;2309;1823;1311;1565
08125007;Bad Wimpfen, Stadt;3492;96;309;720;837;598;425;507
08125008;Beilstein, Stadt;2882;41;215;534;571;486;443;592
08125013;Brackenheim, Stadt;6557;43;401;900;1369;1410;1082;1352
08125017;Cleebronn;1216;9;45;179;289;232;210;252
08125021;Eberstadt;1428;12;108;198;300;301;231;278
08125024;Ellhofen;1522;15;134;206;312;343;247;265
08125026;Eppingen, Stadt;9091;92;551;1335;2080;1753;1384;1896
08125027;Erlenbach;2384;31;157;404;585;476;372;359
08125030;Flein;3227;58;263;478;709;701;525;493
08125034;Gemmingen;2118;6;75;292;460;482;367;436
08125038;Güglingen, Stadt;2640;46;212;442;556;575;354;455
08125039;Gundelsheim, Stadt;3195;21;143;450;715;659;527;680
08125046;Ilsfeld;3942;56;220;554;843;863;621;785
08125047;Ittlingen;978;-;37;109;204;173;148;307
08125048;Jagsthausen;723;9;34;78;126;149;123;204
08125049;Kirchardt;2258;10;81;296;503;504;403;458
08125056;Lauffen am Neckar, Stadt;5200;93;307;915;1426;1034;687;738
08125057;Lehrensteinsfeld;960;11;44;90;183;180;213;239
08125058;Leingarten;4979;59;330;801;1183;1086;744;776
08125059;Löwenstein, Stadt;1436;15;105;244;296;274;231;271
08125061;Massenbachhausen;1511;12;63;181;356;391;256;252
08125063;Möckmühl, Stadt;3380;6;144;473;928;690;461;678
08125065;Neckarsulm, Stadt;11766;234;848;2335;3278;2289;1363;1419
08125066;Neckarwestheim;1561;37;88;245;341;315;266;269
08125068;Neudenau, Stadt;2248;15;100;282;459;481;406;505
08125069;Neuenstadt am Kocher, Stadt;4240;71;238;662;973;805;646;845
08125074;Nordheim;3450;21;192;539;776;784;552;586
08125078;Oedheim;2622;15;97;323;635;544;456;552
08125079;Offenau;1214;6;44;179;367;259;173;186
08125081;Pfaffenhofen;1013;-;40;91;221;234;158;269
08125084;Roigheim;632;-;36;61;135;147;87;166
08125086;Schwaigern, Stadt;4814;56;254;632;1111;1010;829;922
08125087;Siegelsbach;709;3;43;69;176;117;134;167
08125094;Talheim;2252;34;138;321;494;436;391;438
08125096;Untereisesheim;1796;9;107;246;392;384;314;344
08125098;Untergruppenbach;3816;43;260;579;768;809;583;774
