GENESIS-Tabelle: 31211-11-01-5-B
Wohnungen in Wohngebäuden nach Art der;;;;;;
Wohnungsnutzung - Stichtag 09.05.2011;;;;;;
regionale Ebenen;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;
Stichtag: 09.05.2011;;;;;;
;;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden
;;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung
;;Insgesamt;von Eigentümer/-in bewohnt;zu Wohnzwecken vermietet (auch mietfrei);Ferien- oder Freizeitwohnung;leer stehend
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
0733906054;Sörgenloch;509;362;138;3;6
0733906057;Stadecken-Elsheim;1990;1260;680;3;47
0733906067;Zornheim;1725;1028;653;3;41
0733907;Rhein-Selz;13468;8315;4699;37;414
0733907010;Dalheim;455;312;114;-;29
0733907011;Dexheim;637;460;155;4;18
0733907012;Dienheim;927;665;244;3;15
0733907013;Dolgesheim;-;-;-;-;-
0733907015;Eimsheim;-;-;-;-;-
0733907018;Friesenheim, Rheinhessen;276;209;61;-;6
0733907024;Guntersblum;-;-;-;-;-
0733907025;Hahnheim;718;468;225;-;22
0733907028;Hillesheim;-;-;-;-;-
0733907033;Köngernheim;563;378;165;-;20
0733907035;Ludwigshöhe;-;-;-;-;-
0733907037;Mommenheim;1356;840;485;-;31
0733907043;Nierstein;3412;2042;1249;18;103
0733907049;Oppenheim;3248;1700;1429;3;116
0733907053;Selzen;709;483;200;6;20
0733907059;Uelversheim;-;-;-;-;-
0733907060;Undenheim;1167;758;372;3;34
0733907064;Weinolsheim;-;-;-;-;-
0733907066;Wintersheim;-;-;-;-;-
0733907201;Dorn-Dürkheim;-;-;-;-;-
0733908;Sprendlingen-Gensingen, Verbandsgem.;6173;3910;2005;16;242
0733908002;Aspisheim;466;302;146;-;18
0733908004;Badenheim;264;173;76;3;12
0733908021;Gensingen;1586;999;541;6;40
0733908022;Grolsheim;514;339;156;4;15
0733908029;Horrweiler;331;235;75;-;21
0733908050;Sankt Johann, Rheinhessen;347;198;130;-;19
0733908056;Sprendlingen;1809;1058;665;3;83
0733908065;Welgesheim;238;165;66;-;7
0733908068;Zotzenheim;272;210;53;-;9
0733908202;Wolfsheim;346;231;97;-;18
0734001;Dahner Felsenland, Verbandsgem.;7244;4792;1804;293;355
0734001001;Bobenthal;181;122;32;10;17
0734001002;Busenberg;601;448;113;6;34
0734001004;Dahn;2123;1237;756;39;91
0734001009;Erfweiler;551;400;129;16;6
0734001010;Erlenbach bei Dahn;184;110;48;9;17
0734001011;Fischbach bei Dahn;793;547;151;43;52
0734001021;Hirschthal;80;52;15;6;7
0734001029;Ludwigswinkel;540;303;108;114;15
0734001033;Niederschlettenbach;142;106;24;3;9
0734001034;Nothweiler;86;38;31;13;4
0734001039;Rumbach;223;156;43;6;18
0734001043;Schindhard;256;168;68;6;14
0734001045;Schönau (Pfalz);264;150;75;19;20
0734001501;Bruchweiler-Bärenbach;743;557;150;3;33
0734001502;Bundenthal;477;398;61;-;18
0734002;Hauenstein, Verbandsgem.;4233;3012;974;39;208
0734002005;Darstein;89;71;15;-;3
0734002006;Dimbach;81;61;16;-;4
0734002014;Hauenstein;1903;1259;551;9;84
0734002020;Hinterweidenthal;730;528;161;6;35
0734002030;Lug, Pfalz;303;236;51;-;16
0734002047;Schwanheim;305;215;59;12;19
0734002049;Spirkelbach;314;265;36;-;13
0734002057;Wilgartswiesen;508;377;85;12;34
0734003;Pirmasens-Land, Verbandsgem.;6146;4136;1606;32;372
0734003008;Eppenbrunn;704;449;175;15;65
0734003019;Hilst;197;124;64;-;9
0734003026;Kröppen;350;251;82;-;17
0734003028;Lemberg;1993;1219;633;0;141
0734003036;Obersimten;299;245;41;-;13
0734003040;Ruppertsweiler;690;508;157;-;25
0734003048;Schweix;168;116;42;-;10
0734003052;Trulben;609;437;122;10;40
0734003053;Vinningen;796;523;230;3;40
0734003205;Bottenbach;340;264;60;4;12
0734004;Rodalben, Verbandsgem.;7056;4481;2140;17;398
0734004003;Clausen;708;495;151;7;51
0734004007;Donsieders;469;316;127;-;26
0734004027;Leimen, Pfalz;457;341;82;3;28
0734004031;Merzalben;606;441;128;-;27
0734004032;Münchweiler an der Rodalb;1384;896;394;4;90
0734004038;Rodalben;3432;1992;1258;3;176
0734005;Thaleischweiler-Fröschen, Verbandsgem.;5097;3482;1302;19;271
0734005023;Höheischweiler;428;291;106;-;31
0734005024;Höhfröschen;423;304;97;-;19
0734005035;Nünschweiler;367;262;78;3;24
0734005037;Petersberg, Pfalz;416;301;94;-;21
0734005051;Thaleischweiler-Fröschen;1647;1025;510;10;99
0734005217;Maßweiler;448;317;98;-;27
0734005220;Reifenberg;369;272;87;-;7
0734005222;Rieschweiler-Mühlbach;999;710;232;6;43
0734006;Waldfischbach-Burgalben, Verbandsgem.;6172;4100;1611;32;303
0734006012;Geiselberg;399;259;94;-;30
0734006015;Heltersberg;1021;706;245;3;40
0734006016;Hermersberg;817;555;204;-;33
0734006022;Höheinöd;606;427;139;3;24
0734006025;Horbach, Pfalz;269;176;75;-;9
0734006044;Schmalenberg;395;282;76;13;12
0734006050;Steinalben;193;150;30;3;6
0734006054;Waldfischbach-Burgalben;2472;1545;748;10;149
0734007;Wallhalben, Verbandsgem.;3453;2417;740;15;159
0734007017;Herschberg;414;308;63;-;28
0734007018;Hettenhausen;118;77;32;-;-
0734007041;Saalstadt;174;121;40;3;6
0734007042;Schauerberg;93;64;17;-;9
0734007055;Weselberg;653;445;153;3;14
0734007204;Biedershausen;81;54;18;3;6
0734007215;Knopp-Labach;222;151;50;-;7
0734007216;Krähenberg;85;52;21;-;12
0734007219;Obernheim-Kirchenarnbach;770;542;164;-;38
0734007224;Schmitshausen;192;149;40;-;3
0734007225;Wallhalben;415;271;101;3;27
0734007228;Winterbach (Pfalz);236;183;41;3;9
0734008;Zweibrücken-Land, Verbandsgem.;7746;5207;2063;6;432
0734008201;Althornbach;314;258;46;-;10
0734008202;Battweiler;318;262;47;-;9
0734008203;Bechhofen, Pfalz;1097;683;323;-;69
0734008206;Contwig;2293;1480;683;-;127
0734008207;Dellfeld;639;459;147;3;27
0734008208;Dietrichingen;175;108;55;-;12
0734008209;Großbundenbach;156;112;34;-;10
0734008210;Großsteinhausen;273;206;49;-;18
0734008211;Hornbach;736;478;215;-;40
0734008212;Käshofen;299;199;73;-;20
0734008213;Kleinbundenbach;186;126;48;-;12
0734008214;Kleinsteinhausen;366;208;124;-;34
0734008218;Mauschbach;114;84;21;-;9
0734008221;Riedelberg;212;150;50;3;9
0734008223;Rosenkopf;164;128;33;-;3
0734008226;Walshausen;157;95;53;-;9
0734008227;Wiesbach;247;171;62;-;14
0734009;Thaleischweiler-Wallhalben;-;-;-;-;-
0734009017;Herschberg;-;-;-;-;-
0734009018;Hettenhausen;-;-;-;-;-
0734009023;Höheischweiler;-;-;-;-;-
0734009024;Höhfröschen;-;-;-;-;-
0734009035;Nünschweiler;-;-;-;-;-
0734009037;Petersberg;-;-;-;-;-
0734009041;Saalstadt;-;-;-;-;-
0734009042;Schauerberg;-;-;-;-;-
0734009051;Thaleischweiler-Fröschen;-;-;-;-;-
0734009055;Weselberg;-;-;-;-;-
0734009204;Biedershausen;-;-;-;-;-
0734009215;Knopp-Labach;-;-;-;-;-
0734009216;Krähenberg;-;-;-;-;-
0734009217;Maßweiler;-;-;-;-;-
0734009219;Obernheim-Kirchen.;-;-;-;-;-
0734009220;Reifenberg;-;-;-;-;-
0734009222;Rieschweiler-Mühlbach;-;-;-;-;-
0734009224;Schmitshausen;-;-;-;-;-
0734009225;Wallhalben;-;-;-;-;-
0734009228;Winterbach (Pfalz);-;-;-;-;-
08111000;Stuttgart, Landeshauptstadt, Stadtkreis;291196;90462;189456;361;10709
08115001;Aidlingen;3991;2449;1300;18;215
08115002;Altdorf;1869;1229;578;-;56
08115003;Böblingen, Stadt;22160;10554;10769;19;713
08115004;Bondorf;2285;1442;757;6;73
08115010;Deckenpfronn;1210;796;368;3;43
08115013;Ehningen;3505;1829;1537;-;130
08115015;Gärtringen;5066;3167;1685;3;199
08115016;Gäufelden;3859;2372;1311;3;170
08115021;Herrenberg, Stadt;13809;7937;5242;15;574
08115022;Hildrizhausen;1571;847;665;3;49
08115024;Holzgerlingen, Stadt;5305;3191;1934;-;152
08115028;Leonberg, Stadt;21607;11025;9597;27;917
08115029;Magstadt;4017;1919;1896;10;183
08115034;Mötzingen;1409;979;381;-;49
08115037;Nufringen;2399;1455;840;9;84
08115041;Renningen, Stadt;7340;4277;2773;4;273
08115042;Rutesheim, Stadt;4379;2496;1716;7;160
08115044;Schönaich;4415;2559;1653;3;168
08115045;Sindelfingen, Stadt;27603;12785;13901;18;831
08115046;Steinenbronn;2737;1452;1140;-;124
08115048;Waldenbuch, Stadt;3923;2164;1584;13;119
08115050;Weil der Stadt, Stadt;8257;4645;3228;6;363
08115051;Weil im Schönbuch;4203;2574;1430;9;164
08115052;Weissach;3268;2007;1092;4;162
08115053;Jettingen;2958;1969;881;0;108
08115054;Grafenau;3038;1774;1081;6;163
08116004;Altbach;2817;1505;1203;-;109
08116005;Altdorf;602;405;171;3;23
08116006;Altenriet;808;551;226;-;31
08116007;Baltmannsweiler;2412;1575;748;3;86
08116008;Bempflingen;1499;949;484;-;66
08116011;Beuren;1607;956;550;35;63
08116012;Bissingen an der Teck;1539;976;500;6;57
08116014;Deizisau;2901;1688;1107;-;102
08116015;Denkendorf;4626;2302;2128;3;184
08116016;Dettingen unter Teck;2534;1575;845;17;97
08116018;Erkenbrechtsweiler;910;644;211;-;55
08116019;Esslingen am Neckar, Stadt;43290;17064;24241;44;1937
08116020;Frickenhausen;3803;2326;1283;10;181
08116022;Großbettlingen;1811;1151;596;3;61
08116027;Hochdorf;2158;1380;698;-;80
08116029;Holzmaden;917;596;263;-;58
08116033;Kirchheim unter Teck, Stadt;17702;9336;7704;18;644
08116035;Köngen;4274;2478;1602;-;187
08116036;Kohlberg;986;704;220;3;59
08116037;Lichtenwald;1126;755;304;6;61
08116041;Neckartailfingen;1657;972;612;7;66
08116042;Neckartenzlingen;2767;1592;1061;6;105
08116043;Neidlingen;820;492;278;-;50
08116046;Neuffen, Stadt;2680;1702;850;3;125
08116047;Neuhausen auf den Fildern;5379;2842;2303;12;208
08116048;Notzingen;1578;1125;392;-;61
08116049;Nürtingen, Stadt;17680;9807;7181;27;665
08116050;Oberboihingen;2397;1559;731;3;104
08116053;Ohmden;736;537;180;-;19
08116054;Owen, Stadt;1447;872;494;11;70
08116056;Plochingen, Stadt;6382;2985;3135;-;262
08116058;Reichenbach an der Fils;3760;2172;1411;12;165
08116063;Schlaitdorf;828;528;263;3;31
08116068;Unterensingen;1998;1227;692;10;69
08116070;Weilheim an der Teck, Stadt;4046;2352;1508;15;171
08116071;Wendlingen am Neckar, Stadt;7115;3986;2914;3;212
08116072;Wernau (Neckar), Stadt;5581;2900;2444;6;231
08116073;Wolfschlugen;2868;1622;1094;12;140
08116076;Aichwald;3542;2327;1056;6;153
08116077;Filderstadt, Stadt;20717;9243;10708;27;710
08116078;Leinfelden-Echterdingen, Stadt;17778;8225;9019;14;473
08116079;Lenningen;3585;2400;944;24;217
08116080;Ostfildern, Stadt;16703;8353;7854;18;465
08116081;Aichtal, Stadt;4323;2590;1506;9;188
08117001;Adelberg;899;596;265;12;26
08117002;Aichelberg;569;353;170;-;46
08117003;Albershausen;1900;1216;591;-;93
08117006;Bad Ditzenbach;1676;1003;552;39;82
08117007;Bad Überkingen;1776;1156;486;15;119
08117009;Birenbach;902;577;289;-;36
08117010;Böhmenkirch;2283;1488;642;3;150
08117011;Börtlingen;787;546;184;-;57
08117012;Bad Boll;2275;1231;932;18;94
08117014;Deggingen;2427;1585;686;7;149
08117015;Donzdorf, Stadt;4692;3072;1373;20;227
08117016;Drackenstein;178;117;46;3;12
08117017;Dürnau;882;575;262;-;45
08117018;Ebersbach an der Fils, Stadt;6680;4284;2083;15;295
08117019;Eislingen/Fils, Stadt;9052;4889;3740;7;416
08117020;Eschenbach;1043;648;352;3;40
08117023;Gammelshausen;659;395;232;-;32
08117024;Geislingen an der Steige, Stadt;12244;5458;6008;12;766
08117025;Gingen an der Fils;1974;1188;656;3;127
08117026;Göppingen, Stadt;25571;11880;12390;69;1228
08117028;Gruibingen;942;599;265;3;75
08117029;Hattenhofen;1252;870;321;7;54
08117030;Heiningen;2246;1387;774;6;79
08117031;Hohenstadt;330;240;44;17;29
08117033;Kuchen;2557;1538;881;-;138
08117035;Mühlhausen im Täle;414;286;96;6;26
08117037;Ottenbach;1063;744;270;6;43
08117038;Rechberghausen;2498;1618;759;6;115
08117042;Salach;3389;1889;1361;-;139
08117043;Schlat;728;505;171;-;52
08117044;Schlierbach;1606;1085;454;3;64
08117049;Süßen, Stadt;4147;2444;1526;9;168
08117051;Uhingen, Stadt;5822;3743;1811;12;256
08117053;Wäschenbeuren;1682;1137;448;6;91
08117055;Wangen;1441;923;421;3;94
08117058;Wiesensteig, Stadt;913;574;265;6;68
08117060;Zell unter Aichelberg;1342;822;472;4;44
08117061;Lauterstein, Stadt;1191;809;289;6;87
08118001;Affalterbach;1911;1212;631;-;68
08118003;Asperg, Stadt;6004;3402;2392;4;203
08118006;Benningen am Neckar;2617;1556;975;-;86
08118007;Besigheim, Stadt;5275;3246;1786;3;240
08118010;Bönnigheim, Stadt;3133;1784;1173;9;167
08118011;Ditzingen, Stadt;11092;5697;4994;12;385
08118012;Eberdingen;2891;1907;831;6;147
08118014;Erdmannhausen;2134;1261;792;-;81
08118015;Erligheim;1156;728;389;-;39
08118016;Freudental;1037;686;289;-;62
08118018;Gemmrigheim;1747;1054;579;-;114
08118019;Gerlingen, Stadt;9263;4710;4198;6;342
08118021;Großbottwar, Stadt;3498;2089;1215;6;188
08118027;Hemmingen;3362;2036;1205;3;118
08118028;Hessigheim;1055;604;381;3;67
08118040;Kirchheim am Neckar;2246;1241;878;3;124
08118046;Kornwestheim, Stadt;14766;6318;7974;6;468
08118047;Löchgau;2325;1536;674;3;112
08118048;Ludwigsburg, Stadt;41490;17811;22279;33;1364
08118049;Marbach am Neckar, Stadt;6996;3697;2985;6;308
08118050;Markgröningen, Stadt;6505;3424;2761;6;308
08118051;Möglingen;4973;2597;2228;-;148
08118053;Mundelsheim;1400;876;440;7;77
08118054;Murr;2757;1616;1061;9;71
08118059;Oberriexingen, Stadt;1402;942;395;4;61
08118060;Oberstenfeld;3474;2249;1056;6;163
08118063;Pleidelsheim;2748;1581;1061;12;94
08118067;Schwieberdingen;5172;2913;2096;3;160
08118068;Sersheim;2288;1472;735;-;81
08118070;Steinheim an der Murr, Stadt;5112;3356;1535;4;217
08118071;Tamm;5667;3455;2065;6;141
08118073;Vaihingen an der Enz, Stadt;12226;7727;3907;12;580
08118074;Walheim;1380;864;451;3;62
08118076;Sachsenheim, Stadt;7655;4869;2426;41;319
08118077;Ingersheim;2717;1535;1066;-;116
08118078;Freiberg am Neckar, Stadt;7343;4196;2910;10;227
08118079;Bietigheim-Bissingen, Stadt;19148;10985;7495;38;630
08118080;Korntal-Münchingen, Stadt;8591;3977;4311;9;290
08118081;Remseck am Neckar, Stadt;10215;5907;3964;9;332
08119001;Alfdorf;2986;2008;778;13;187
08119003;Allmersbach im Tal;2086;1404;597;-;85
08119004;Althütte;1787;1214;474;9;90
08119006;Auenwald;3089;2067;852;15;155
08119008;Backnang, Stadt;15591;8124;6838;22;607
08119018;Burgstetten;1499;897;532;6;64
08119020;Fellbach, Stadt;20335;8006;11668;27;631
08119024;Großerlach;1027;697;231;27;72
08119037;Kaisersbach;1034;659;318;12;45
08119038;Kirchberg an der Murr;1611;973;538;3;97
08119041;Korb;4772;2415;2151;7;199
08119042;Leutenbach;4995;2761;2037;-;197
08119044;Murrhardt, Stadt;6168;3283;2510;35;340
08119053;Oppenweiler;1839;1139;607;10;83
08119055;Plüderhausen;4208;2450;1573;6;179
08119061;Rudersberg;4827;3038;1541;15;233
08119067;Schorndorf, Stadt;17552;9911;6992;22;623
08119068;Schwaikheim;4224;2272;1787;6;159
08119069;Spiegelberg;1012;658;270;18;66
08119075;Sulzbach an der Murr;2239;1355;753;9;122
08119076;Urbach;3687;2343;1221;6;117
08119079;Waiblingen, Stadt;23914;12377;10737;38;762
08119083;Weissach im Tal;3189;2078;966;11;134
08119084;Welzheim, Stadt;4818;2721;1834;15;248
08119085;Winnenden, Stadt;12233;6173;5555;19;486
08119086;Winterbach;3488;1958;1402;-;128
08119087;Aspach;3548;2235;1141;3;169
08119089;Berglen;2696;1767;750;7;172
08119090;Remshalden;6159;3493;2379;6;281
08119091;Weinstadt, Stadt;12030;6594;4963;16;457
08119093;Kernen im Remstal;6739;3535;2928;10;266
08121000;Heilbronn, Stadtkreis;54829;24639;28032;54;2104
08125001;Abstatt;1994;1244;679;-;71
08125005;Bad Friedrichshall, Stadt;8039;4332;3424;6;277
08125006;Bad Rappenau, Stadt;9287;5453;3352;80;399
08125007;Bad Wimpfen, Stadt;3350;1705;1418;21;206
08125008;Beilstein, Stadt;2757;1724;881;31;121
08125013;Brackenheim, Stadt;6296;3813;2185;6;292
08125017;Cleebronn;1178;747;354;6;71
08125021;Eberstadt;1385;894;425;3;63
08125024;Ellhofen;1478;961;440;-;77
08125026;Eppingen, Stadt;8795;5331;3064;13;387
08125027;Erlenbach;2296;1390;822;10;74
08125030;Flein;3132;1844;1171;13;104
08125034;Gemmingen;2055;1371;601;-;83
08125038;Güglingen, Stadt;2520;1392;997;3;128
08125039;Gundelsheim, Stadt;3093;2109;810;7;167
08125046;Ilsfeld;3781;2311;1334;3;133
08125047;Ittlingen;936;587;302;4;43
08125048;Jagsthausen;697;477;154;15;51
08125049;Kirchardt;2174;1354;692;-;125
08125056;Lauffen am Neckar, Stadt;4947;2667;2030;6;244
08125057;Lehrensteinsfeld;935;665;226;-;44
08125058;Leingarten;4793;3047;1572;-;174
08125059;Löwenstein, Stadt;1387;854;439;27;67
08125061;Massenbachhausen;1487;936;500;-;51
08125063;Möckmühl, Stadt;3281;1935;1221;16;109
08125065;Neckarsulm, Stadt;11463;6114;4914;7;428
08125066;Neckarwestheim;1510;983;484;-;43
08125068;Neudenau, Stadt;2146;1499;527;15;105
08125069;Neuenstadt am Kocher, Stadt;4099;2554;1384;7;154
08125074;Nordheim;3270;2020;1120;-;130
08125078;Oedheim;2540;1724;710;10;96
08125079;Offenau;1181;726;387;4;64
08125081;Pfaffenhofen;971;686;216;-;69
08125084;Roigheim;618;406;149;9;54
08125086;Schwaigern, Stadt;4629;2866;1513;6;244
08125087;Siegelsbach;676;412;230;6;28
08125094;Talheim;2198;1410;713;-;75
08125096;Untereisesheim;1763;1187;526;-;50
08125098;Untergruppenbach;3724;2400;1170;21;133
08125102;Weinsberg, Stadt;5165;2972;2025;6;162
08125103;Widdern, Stadt;742;523;165;9;45
08125107;Wüstenrot;2955;1921;757;85;192
08125108;Zaberfeld;1688;1220;361;42;65
08125110;Obersulm;5894;3836;1802;29;227
08125111;Hardthausen am Kocher;1629;1141;433;3;52
08125113;Langenbrettach;1511;1073;369;6;63
08126011;Bretzfeld;5121;3387;1535;6;193
08126020;Dörzbach;1041;637;333;6;65
08126028;Forchtenberg, Stadt;2109;1411;589;9;100
08126039;Ingelfingen, Stadt;2464;1544;790;19;111
08126045;Krautheim, Stadt;1890;1217;546;24;103
08126046;Künzelsau, Stadt;6890;3370;3132;15;373
08126047;Kupferzell;2414;1460;861;16;77
08126056;Mulfingen;1592;1096;378;18;100
08126058;Neuenstein, Stadt;2597;1754;704;7;132
08126060;Niedernhall, Stadt;1829;1019;683;18;109
08126066;Öhringen, Stadt;9878;5187;4394;24;273
08126069;Pfedelbach;3815;2418;1220;9;168
08126072;Schöntal;2522;1766;548;34;174
08126085;Waldenburg, Stadt;1400;743;559;14;84
08126086;Weißbach;894;535;312;-;47
08126094;Zweiflingen;628;445;148;6;29
08127008;Blaufelden;2085;1446;522;7;110
08127009;Braunsbach;1048;727;276;7;38
08127012;Bühlertann;1261;852;352;-;57
08127013;Bühlerzell;938;638;176;64;60
08127014;Crailsheim, Stadt;14566;7827;6073;41;625
08127023;Fichtenberg;1289;844;345;16;84
08127025;Gaildorf, Stadt;5271;3147;1865;11;248
08127032;Gerabronn, Stadt;1765;1159;457;27;122
08127043;Ilshofen, Stadt;2518;1570;787;12;149
08127046;Kirchberg an der Jagst, Stadt;1668;1038;482;43;105
08127047;Langenburg, Stadt;858;503;258;31;66
08127052;Mainhardt;2483;1584;749;34;116
08127056;Michelbach an der Bilz;1522;979;466;3;74
08127059;Michelfeld;1643;1047;539;3;54
08127062;Oberrot;1557;933;501;36;87
08127063;Obersontheim;1964;1283;560;12;109
08127071;Rot am See;2119;1408;605;18;88
08127073;Satteldorf;2158;1462;601;3;92
08127075;Schrozberg, Stadt;2459;1653;659;14;133
08127076;Schwäbisch Hall, Stadt;16876;8591;7465;96;724
08127079;Sulzbach-Laufen;1111;720;328;6;57
08127086;Untermünkheim;1268;796;413;-;59
08127089;Vellberg, Stadt;1799;1177;507;19;96
08127091;Wallhausen;1451;956;432;6;57
08127099;Wolpertshausen;798;514;247;6;31
08127100;Rosengarten;2255;1447;704;9;95
08127101;Kreßberg;1598;1169;326;10;93
08127102;Fichtenau;1908;1296;468;12;132
08127103;Frankenhardt;1908;1379;433;18;78
08127104;Stimpfach;1291;810;394;6;81
08128006;Assamstadt;894;598;245;3;48
08128007;Bad Mergentheim, Stadt;10726;5334;4746;90;556
08128014;Boxberg, Stadt;3036;1984;830;19;203
08128020;Creglingen, Stadt;2022;1457;403;36;126
08128039;Freudenberg, Stadt;1771;1137;489;26;119
08128045;Großrinderfeld;1787;1188;483;13;103
08128047;Grünsfeld, Stadt;1624;1144;395;8;77
08128058;Igersheim;2443;1449;880;18;96
08128061;Königheim;1335;951;291;6;87
08128064;Külsheim, Stadt;2437;1627;673;9;128
08128082;Niederstetten, Stadt;2244;1447;647;27;123
08128115;Tauberbischofsheim, Stadt;5992;3130;2516;30;316
08128126;Weikersheim, Stadt;3393;2068;1090;51;184
08128128;Werbach;1573;1028;419;9;117
08128131;Wertheim, Stadt;10634;5685;4360;80;509
08128137;Wittighausen;727;520;158;-;49
08128138;Ahorn;990;738;182;12;58
08128139;Lauda-Königshofen, Stadt;6538;3833;2270;18;417
08135010;Dischingen;1806;1352;331;28;95
08135015;Gerstetten;4808;3433;1173;23;179
08135016;Giengen an der Brenz, Stadt;8440;4631;3392;12;405
08135019;Heidenheim an der Brenz, Stadt;22553;10660;10433;38;1422
08135020;Herbrechtingen, Stadt;5577;3554;1770;12;241
08135021;Hermaringen;915;692;201;3;19
08135025;Königsbronn;3215;2097;981;9;128
08135026;Nattheim;2715;1767;832;6;110
08135027;Niederstotzingen, Stadt;1996;1337;568;0;91
08135031;Sontheim an der Brenz;2264;1661;494;-;109
08135032;Steinheim am Albuch;3728;2471;1063;30;164
08136002;Abtsgmünd;3136;2099;830;47;160
08136003;Adelmannsfelden;725;541;145;6;33
08136007;Bartholomä;997;649;210;84;54
08136009;Böbingen an der Rems;1908;1259;552;9;88
08136010;Bopfingen, Stadt;5076;3051;1713;13;299
08136015;Durlangen;1218;848;313;3;54
08136018;Ellenberg;688;512;141;9;26
08136019;Ellwangen (Jagst), Stadt;10067;5722;3823;10;512
08136020;Eschach;741;512;178;3;48
08136021;Essingen;2745;1748;881;15;101
08136024;Göggingen;999;736;227;3;33
08136027;Gschwend;2205;1490;553;15;147
08136028;Heubach, Stadt;4290;2451;1652;13;174
08136029;Heuchlingen;775;535;212;-;28
08136033;Hüttlingen;2490;1614;740;-;136
08136034;Iggingen;1094;755;299;3;37
08136035;Jagstzell;939;648;233;6;52
08136037;Kirchheim am Ries;755;556;157;6;36
08136038;Lauchheim, Stadt;1914;1191;607;25;91
08136040;Leinzell;1029;626;355;6;42
08136042;Lorch, Stadt;4694;2872;1573;16;233
08136043;Mögglingen;1756;1142;542;9;63
08136044;Mutlangen;2879;1701;1051;9;118
08136045;Neresheim, Stadt;3220;2140;869;37;174
08136046;Neuler;1217;868;288;9;52
08136049;Obergröningen;203;141;47;3;12
08136050;Oberkochen, Stadt;3939;1993;1712;6;228
08136060;Rosenberg;1079;730;288;3;58
08136061;Ruppertshofen;723;525;173;3;22
08136062;Schechingen;971;705;221;-;45
08136065;Schwäbisch Gmünd, Stadt;26812;13206;12199;40;1367
08136066;Spraitbach;1493;1037;365;18;73
08136068;Stödtlen;740;575;124;6;35
08136070;Täferrot;431;296;114;3;18
08136071;Tannhausen;671;515;116;3;37
08136075;Unterschneidheim;1724;1373;290;7;54
08136079;Waldstetten;3129;1913;1054;15;147
08136082;Westhausen;2472;1599;744;9;120
08136084;Wört;583;398;135;16;34
08136087;Riesbürg;984;674;239;7;64
08136088;Aalen, Stadt;30205;16228;12585;74;1318
08136089;Rainau;1256;893;306;-;57
08211000;Baden-Baden, Stadtkreis;27737;11485;14681;256;1309
08212000;Karlsruhe, Stadtkreis;147225;42780;100960;154;3324
08215007;Bretten, Stadt;11993;6827;4673;13;480
08215009;Bruchsal, Stadt;19529;9060;9514;34;921
08215017;Ettlingen, Stadt;18687;8866;9199;45;577
08215021;Forst;3359;2087;1172;-;100
08215025;Gondelsheim;1399;846;505;-;48
08215029;Hambrücken;2206;1469;660;-;74
08215039;Kronau;2359;1566;721;3;69
08215040;Kürnbach;1037;707;260;6;64
08215046;Malsch;6315;3866;2176;22;251
08215047;Marxzell;2368;1439;759;22;148
08215059;Oberderdingen;4179;2778;1232;9;160
08215064;Östringen, Stadt;5479;3394;1799;13;273
08215066;Philippsburg, Stadt;5246;3109;1911;9;217
08215082;Sulzfeld;1973;1338;553;6;76
08215084;Ubstadt-Weiher;5461;3541;1689;3;228
08215089;Walzbachtal;4098;2501;1411;12;174
08215090;Weingarten (Baden);4521;2470;1861;26;164
08215094;Zaisenhausen;727;461;211;6;49
08215096;Karlsbad;7007;4057;2670;25;255
08215097;Kraichtal, Stadt;6204;4023;1837;9;335
08215099;Graben-Neudorf;4810;3114;1519;12;165
08215100;Bad Schönborn;5311;2943;2116;27;225
08215101;Pfinztal;8165;4830;3038;9;288
08215102;Eggenstein-Leopoldshafen;7423;4094;3145;6;178
08215103;Karlsdorf-Neuthard;4215;2679;1412;3;121
08215105;Linkenheim-Hochstetten;5248;3151;1929;3;165
08215106;Waghäusel, Stadt;8650;5434;2900;10;300
08215107;Oberhausen-Rheinhausen;4120;2763;1204;3;150
08215108;Rheinstetten, Stadt;9449;5482;3636;12;319
08215109;Stutensee, Stadt;10120;6060;3798;-;262
08215110;Waldbronn;5811;3307;2274;12;218
08215111;Dettenheim;2826;1901;808;3;114
08216002;Au am Rhein;1415;1011;367;-;37
08216005;Bietigheim;2629;1557;957;3;112
08216006;Bischweier;1405;848;491;3;63
